year,equity_start,equity_end,pnl_usd,executed_trades,candidate_trades,return_percent,symbol,mode,initial_balance_usd,risk_percent
2024,1000.0,1009.6074291888135,9.607429188813512,6,265,0.9607429188813521,US500_x100,margin_100,1000,1
2025,1009.6074291888135,1009.6074291888135,0.0,0,265,0.0,US500_x100,margin_100,1000,1
2026,1009.6074291888135,1009.6074291888135,0.0,0,158,0.0,US500_x100,margin_100,1000,1
2024,1000.0,1620.0733705667326,620.0733705667326,190,265,62.00733705667325,US500_x100,margin_100,1000,2
2025,1620.0733705667326,2603.0076690093456,982.934298442613,158,265,60.67220882093529,US500_x100,margin_100,1000,2
2026,2603.0076690093456,3741.7865890083776,1138.778919999032,141,158,43.74858105709804,US500_x100,margin_100,1000,2
2024,1000.0,1420.3654990704772,420.3654990704772,248,265,42.03654990704773,US500_x100,margin_100,1000,3
2025,1420.3654990704772,2587.459284939734,1167.0937858692569,199,265,82.16855356125112,US500_x100,margin_100,1000,3
2026,2587.459284939734,3639.911723367567,1052.452438427833,156,158,40.675130408954296,US500_x100,margin_100,1000,3
2024,1000.0,1194.5381230127796,194.53812301277935,255,265,19.453812301277964,US500_x100,margin_100,1000,4
2025,1194.5381230127796,2032.9037989607377,838.3656759479582,202,265,70.18324989356486,US500_x100,margin_100,1000,4
2026,2032.9037989607377,2746.2367238527067,713.332924891969,156,158,35.08935962718154,US500_x100,margin_100,1000,4
2024,1000.0,1073.6385345655115,73.63853456551158,257,265,7.36385345655115,US500_x100,margin_100,1000,5
2025,1073.6385345655115,1534.3605363959596,460.722001830448,191,265,42.91220806608778,US500_x100,margin_100,1000,5
2026,1534.3605363959596,2088.2565636072195,553.89602721126,155,158,36.09947037039283,US500_x100,margin_100,1000,5
2024,3000.0,3717.1663124831557,717.1663124831557,229,265,23.905543749438518,US500_x100,margin_100,3000,1
2025,3717.1663124831557,4861.612853370448,1144.446540887292,188,265,30.788144642437977,US500_x100,margin_100,3000,1
2026,4861.612853370448,5854.983327250381,993.3704738799336,131,158,20.4329407511594,US500_x100,margin_100,3000,1
2024,3000.0,4136.557239415823,1136.5572394158226,264,265,37.88524131386075,US500_x100,margin_100,3000,2
2025,4136.557239415823,6514.829603187819,2378.2723637719964,248,265,57.49400349426479,US500_x100,margin_100,3000,2
2026,6514.829603187819,8267.674278470586,1752.8446752827679,158,158,26.90545696582869,US500_x100,margin_100,3000,2
2024,3000.0,4148.301084721311,1148.3010847213109,265,265,38.276702824043696,US500_x100,margin_100,3000,3
2025,4148.301084721311,7318.3974251702175,3170.0963404489066,256,265,76.41914788019488,US500_x100,margin_100,3000,3
2026,7318.3974251702175,9260.3562498692,1941.9588246989842,158,158,26.53530154047101,US500_x100,margin_100,3000,3
2024,3000.0,4097.453963907321,1097.4539639073218,265,265,36.581798796910704,US500_x100,margin_100,3000,4
2025,4097.453963907321,7838.420980595833,3740.967016688511,257,265,91.2997937168069,US500_x100,margin_100,3000,4
2026,7838.420980595833,9645.97172189762,1807.5507413017863,158,158,23.060138588835887,US500_x100,margin_100,3000,4
2024,3000.0,3251.1713512740844,251.17135127408437,263,265,8.372378375802803,US500_x100,margin_100,3000,5
2025,3251.1713512740844,6855.435348648159,3604.2639973740743,256,265,110.86047482430041,US500_x100,margin_100,3000,5
2026,6855.435348648159,7900.278938610398,1044.843589962239,158,158,15.241097564551831,US500_x100,margin_100,3000,5
2024,500.0,500.0,0.0,0,265,0.0,US500_x100,margin_50,500,1
2025,500.0,500.0,0.0,0,265,0.0,US500_x100,margin_50,500,1
2026,500.0,500.0,0.0,0,158,0.0,US500_x100,margin_50,500,1
2024,500.0,509.6074291888135,9.607429188813512,6,265,1.9214858377627042,US500_x100,margin_50,500,2
2025,509.6074291888135,509.6074291888135,0.0,0,265,0.0,US500_x100,margin_50,500,2
2026,509.6074291888135,509.6074291888135,0.0,0,158,0.0,US500_x100,margin_50,500,2
2024,500.0,609.4715922219893,109.47159222198931,112,265,21.894318444397864,US500_x100,margin_50,500,3
2025,609.4715922219893,748.097918728442,138.62632650645264,38,265,22.745330262408746,US500_x100,margin_50,500,3
2026,748.097918728442,1152.8043727954646,404.70645406702266,34,158,54.0980590822804,US500_x100,margin_50,500,3
2024,500.0,681.2775863866318,181.27758638663175,157,265,36.25551727732636,US500_x100,margin_50,500,4
2025,681.2775863866318,406.5296859073632,-274.74790047926854,48,265,-40.3283339962026,US500_x100,margin_50,500,4
2026,406.5296859073632,406.5296859073632,0.0,0,158,0.0,US500_x100,margin_50,500,4
2024,500.0,505.2019807477154,5.2019807477154245,98,265,1.040396149543077,US500_x100,margin_50,500,5
