asset,cost,variant,month,net_r
xauusd,base,causal_lorentzian,2025-05,5.9587900608632065
xauusd,base,causal_lorentzian,2025-06,-11.391863296872792
xauusd,base,causal_lorentzian,2025-07,-1.9388508712847519
xauusd,base,causal_lorentzian,2025-08,12.350503254559714
xauusd,base,causal_lorentzian,2025-09,4.066912526999091
xauusd,base,causal_lorentzian,2025-10,8.197404959882675
xauusd,base,causal_lorentzian,2025-11,0.23927477851304352
xauusd,base,causal_lorentzian,2025-12,-10.170448454360832
xauusd,base,causal_lorentzian,2026-01,-2.2621481036886553
xauusd,base,causal_lorentzian,2026-02,-0.06068048672196555
xauusd,base,causal_lorentzian,2026-03,-1.6717149900703416
xauusd,base,causal_lorentzian,2026-04,-14.69117962057045
xauusd,base,causal_lorentzian,2026-05,1.3185918268627197
xauusd,base,causal_lorentzian,2026-06,4.641916407871786
xauusd,base,causal_lorentzian,2026-07,10.719109803407317
xauusd,base,causal_lorentzian,2026-08,-8.382469462278157
xauusd,base,causal_euclidean,2024-01,-9.832031845331862
xauusd,base,causal_euclidean,2024-02,-8.455075655652903
xauusd,base,causal_euclidean,2024-03,-3.3068784777904465
xauusd,base,causal_euclidean,2024-04,8.108094251369735
xauusd,base,causal_euclidean,2024-05,1.219313641116138
xauusd,base,causal_euclidean,2024-06,-0.4966248751818727
xauusd,base,causal_euclidean,2024-07,3.32074373018043
xauusd,base,causal_euclidean,2024-08,0.8479132623927241
xauusd,base,causal_euclidean,2024-09,-15.885257402025541
xauusd,base,causal_euclidean,2024-10,4.130572178700359
xauusd,base,causal_euclidean,2024-11,0.8379301223643165
xauusd,base,causal_euclidean,2024-12,5.441018943095737
xauusd,base,causal_euclidean,2025-01,1.3604616161113463
xauusd,base,causal_euclidean,2025-02,-5.958092668499569
xauusd,base,causal_euclidean,2025-03,-4.364814257187548
xauusd,base,causal_euclidean,2025-04,3.993801620740216
xauusd,base,causal_euclidean,2025-05,2.151567614245911
xauusd,base,causal_euclidean,2025-06,-16.956012452719573
xauusd,base,causal_euclidean,2025-07,-6.625367917158063
xauusd,base,causal_euclidean,2025-08,1.184262407010338
xauusd,base,causal_euclidean,2025-09,6.508768255833769
xauusd,base,causal_euclidean,2025-10,17.765062758987707
xauusd,base,causal_euclidean,2025-11,2.7315686999073208
xauusd,base,causal_euclidean,2025-12,5.9409070493995815
xauusd,base,causal_euclidean,2026-01,-2.2553697622983915
xauusd,base,causal_euclidean,2026-02,-2.780582654865977
xauusd,base,causal_euclidean,2026-03,-13.18666376062805
xauusd,base,causal_euclidean,2026-04,-1.6026719698989558
xauusd,base,causal_euclidean,2026-05,0.0159033771712771
xauusd,base,causal_euclidean,2026-06,13.60183611090503
xauusd,base,causal_euclidean,2026-07,-4.353916544870559
xauusd,base,causal_euclidean,2026-08,-1.1703283389819221
xauusd,base,simple_momentum4,2024-01,-12.303012531691351
xauusd,base,simple_momentum4,2024-02,-4.80264614116081
xauusd,base,simple_momentum4,2024-03,8.89211084738929
xauusd,base,simple_momentum4,2024-04,-2.1451530328259967
xauusd,base,simple_momentum4,2024-05,2.5216243845183497
xauusd,base,simple_momentum4,2024-06,1.520754311802154
xauusd,base,simple_momentum4,2024-07,-2.6779565919367263
xauusd,base,simple_momentum4,2024-08,-1.6690515804899075
xauusd,base,simple_momentum4,2024-09,-7.353867609938432
xauusd,base,simple_momentum4,2024-10,-2.989255918496053
