month,pnl_usd,executed_trades,candidate_trades,equity_end,equity_start,return_percent,asset,timeframe,initial_balance_usd,risk_percent
2025-05,91.63351922865388,22,25,638.4315889152875,546.7980696866337,16.75820093534135,xauusd,30min,1000,2
2025-06,-84.2867862060911,30,30,554.1448027091965,638.4315889152875,-13.202164126824712,xauusd,30min,1000,2
2025-07,-1.7821808025264119,30,30,552.36262190667,554.1448027091965,-0.32160922448670204,xauusd,30min,1000,2
2025-08,146.94255505720784,17,17,699.3051769638779,552.36262190667,26.602552241856074,xauusd,30min,1000,2
2025-09,53.98275900482476,20,20,753.2879359687026,699.3051769638779,7.719485109376388,xauusd,30min,1000,2
2025-10,51.283990174397594,10,20,804.5719261431002,753.2879359687026,6.808019579982803,xauusd,30min,1000,2
2025-11,-2.4080196920985837,14,15,802.1639064510016,804.5719261431002,-0.2992920351623475,xauusd,30min,1000,2
2025-12,-128.58428110171977,24,24,673.5796253492819,802.1639064510016,-16.02967673659274,xauusd,30min,1000,2
2026-01,-33.43651414829146,10,18,640.1431112009905,673.5796253492819,-4.964003198723995,xauusd,30min,1000,2
2026-02,0.0,0,14,640.1431112009905,640.1431112009905,0.0,xauusd,30min,1000,2
2026-03,0.0,0,23,640.1431112009905,640.1431112009905,0.0,xauusd,30min,1000,2
2026-04,-42.8351883616663,4,26,597.3079228393241,640.1431112009905,-6.691501886398808,xauusd,30min,1000,2
2026-05,-27.150911725481166,4,24,570.1570111138429,597.3079228393241,-4.545546892533814,xauusd,30min,1000,2
2026-06,0.0,0,18,570.1570111138429,570.1570111138429,0.0,xauusd,30min,1000,2
2026-07,95.97303225349351,15,25,666.1300433673364,570.1570111138429,16.832737365800917,xauusd,30min,1000,2
2026-08,-27.95109331545648,17,31,638.17895005188,666.1300433673364,-4.196041537799684,xauusd,30min,1000,2
2024-01,-229.85388213369842,34,34,770.1461178663016,1000.0,-22.98538821336984,xauusd,30min,1000,3
2024-02,-141.56894010954767,22,22,628.5771777567539,770.1461178663016,-18.382088388858726,xauusd,30min,1000,3
2024-03,-38.792127901106205,22,22,589.7850498556477,628.5771777567539,-6.171418446903578,xauusd,30min,1000,3
2024-04,-94.81748219044908,25,25,494.96756766519866,589.7850498556477,-16.076616762947122,xauusd,30min,1000,3
2024-05,-1.7885858655966,24,24,493.17898179960207,494.96756766519866,-0.3613541537748628,xauusd,30min,1000,3
2024-06,-47.33110185035605,23,23,445.847879949246,493.17898179960207,-9.597144971110819,xauusd,30min,1000,3
2024-07,51.33213141839049,21,21,497.1800113676365,445.847879949246,11.513373445721887,xauusd,30min,1000,3
2024-08,-49.98469891521327,18,18,447.1953124524232,497.1800113676365,-10.053642095891183,xauusd,30min,1000,3
2024-09,-111.71791687589098,29,29,335.4773955765322,447.1953124524232,-24.98190695766217,xauusd,30min,1000,3
2024-10,94.32796947969055,22,22,429.80536505622274,335.4773955765322,28.117533617304947,xauusd,30min,1000,3
