asset,cost,model,month,net_r
sp500,stress,logistic,2024-09,2.401787982480981
sp500,stress,logistic,2024-10,7.245038338200413
sp500,stress,logistic,2024-11,-6.041988981341358
sp500,stress,logistic,2024-12,5.873036958698692
sp500,stress,logistic,2025-01,-0.5532493895195532
sp500,stress,logistic,2025-02,-13.061213587345259
sp500,stress,logistic,2025-03,0.2271057908590306
sp500,stress,logistic,2025-04,6.40235428940794
sp500,stress,logistic,2025-05,0.06417065927151744
sp500,stress,logistic,2025-06,-10.536359330075902
sp500,stress,logistic,2025-07,3.321798253805289
sp500,stress,logistic,2025-08,1.3265259806890042
sp500,stress,logistic,2025-09,-4.000000000000299
sp500,stress,logistic,2025-10,-1.562122648474244
sp500,stress,logistic,2025-11,0.6855199987671882
sp500,stress,logistic,2025-12,-2.673408025198203
sp500,stress,logistic,2026-01,0.6041159521530255
sp500,stress,logistic,2026-02,-2.783598030330882
sp500,stress,logistic,2026-03,5.463163219290832
sp500,stress,logistic,2026-04,4.871765876690388
sp500,stress,logistic,2026-05,-2.000000000000098
sp500,stress,logistic,2026-06,-1.6383732016596957
sp500,stress,logistic,2026-07,-1.743702186404397
sp500,stress,logistic,2026-08,-2.1000031380622346
sp500,stress,prior,2024-01,0.0
sp500,stress,prior,2024-02,0.0
sp500,stress,prior,2024-03,0.0
sp500,stress,prior,2024-04,0.0
sp500,stress,prior,2024-05,0.0
sp500,stress,prior,2024-06,0.0
sp500,stress,prior,2024-07,0.0
sp500,stress,prior,2024-08,0.0
sp500,stress,prior,2024-09,0.0
sp500,stress,prior,2024-10,0.0
sp500,stress,prior,2024-11,0.0
sp500,stress,prior,2024-12,0.0
sp500,stress,prior,2025-01,0.0
sp500,stress,prior,2025-02,0.0
sp500,stress,prior,2025-03,0.0
sp500,stress,prior,2025-04,-0.7157393488010414
sp500,stress,prior,2025-05,1.9086305882447498
sp500,stress,prior,2025-06,0.0
sp500,stress,prior,2025-07,0.0
sp500,stress,prior,2025-08,0.0
sp500,stress,prior,2025-09,0.0
sp500,stress,prior,2025-10,0.0
sp500,stress,prior,2025-11,0.0
sp500,stress,prior,2025-12,0.0
sp500,stress,prior,2026-01,0.0
sp500,stress,prior,2026-02,0.0
sp500,stress,prior,2026-03,-1.0000000000000453
sp500,stress,prior,2026-04,4.8046943892036875
sp500,stress,prior,2026-05,0.0
sp500,stress,prior,2026-06,0.0
sp500,stress,prior,2026-07,0.0
sp500,stress,prior,2026-08,0.0
