asset,variant,month,net_bps,trades,year
xauusd,causal_lorentzian,2026-05,-103.20289833985609,2,2026
xauusd,causal_lorentzian,2026-06,-147.26013219920142,3,2026
xauusd,causal_lorentzian,2026-07,-168.78797294746505,2,2026
xauusd,causal_lorentzian,2026-08,138.76123144365735,5,2026
xauusd,causal_euclidean,2024-01,36.79667194746566,5,2024
xauusd,causal_euclidean,2024-02,-12.324718791735524,1,2024
xauusd,causal_euclidean,2024-03,93.38271433810343,3,2024
xauusd,causal_euclidean,2024-04,-35.97432308206716,1,2024
xauusd,causal_euclidean,2024-05,91.40222380036178,3,2024
xauusd,causal_euclidean,2024-06,-89.13655452987862,4,2024
xauusd,causal_euclidean,2024-07,289.45139417402675,6,2024
xauusd,causal_euclidean,2024-08,45.425121589152695,1,2024
xauusd,causal_euclidean,2024-09,-26.11006920505325,4,2024
xauusd,causal_euclidean,2024-10,161.54645404946768,3,2024
xauusd,causal_euclidean,2024-11,20.49692925013833,2,2024
xauusd,causal_euclidean,2024-12,-152.53394969252292,5,2024
xauusd,causal_euclidean,2025-01,243.04660868736596,8,2025
xauusd,causal_euclidean,2025-02,-93.65407340299387,4,2025
xauusd,causal_euclidean,2025-03,209.96242862123918,3,2025
xauusd,causal_euclidean,2025-04,-214.0690933426019,3,2025
xauusd,causal_euclidean,2025-05,9.740058904379922,5,2025
xauusd,causal_euclidean,2025-06,-22.689911356867487,2,2025
xauusd,causal_euclidean,2025-07,-266.6200980397515,5,2025
xauusd,causal_euclidean,2025-08,51.568560239131955,3,2025
xauusd,causal_euclidean,2025-09,109.2700973994734,3,2025
xauusd,causal_euclidean,2025-10,199.2456803243403,3,2025
xauusd,causal_euclidean,2025-11,-47.11464099925426,3,2025
xauusd,causal_euclidean,2025-12,-91.54287094988814,3,2025
xauusd,causal_euclidean,2026-01,175.99111236742448,3,2026
xauusd,causal_euclidean,2026-02,-254.35465144968094,2,2026
xauusd,causal_euclidean,2026-03,-119.80693811807944,5,2026
xauusd,causal_euclidean,2026-04,-306.40715966940564,3,2026
xauusd,causal_euclidean,2026-05,153.49628251112387,2,2026
xauusd,causal_euclidean,2026-06,-189.96238145956997,2,2026
xauusd,causal_euclidean,2026-07,19.82116667906908,2,2026
xauusd,causal_euclidean,2026-08,82.20702350770337,3,2026
xauusd,simple_momentum4,2024-01,100.94483277932704,4,2024
xauusd,simple_momentum4,2024-02,40.6161675866629,2,2024
xauusd,simple_momentum4,2024-03,-27.544684932315533,4,2024
xauusd,simple_momentum4,2024-04,-59.581694999722096,1,2024
xauusd,simple_momentum4,2024-05,258.07643280897673,2,2024
xauusd,simple_momentum4,2024-06,-185.53775546694374,6,2024
xauusd,simple_momentum4,2024-07,-119.77722667344142,6,2024
xauusd,simple_momentum4,2024-08,-122.73224226650564,3,2024
xauusd,simple_momentum4,2024-09,-8.07954363687868,4,2024
xauusd,simple_momentum4,2024-10,21.75471061708042,4,2024
xauusd,simple_momentum4,2024-11,290.4348019456147,2,2024
xauusd,simple_momentum4,2024-12,-11.802383339795917,3,2024
xauusd,simple_momentum4,2025-01,192.5937902174457,7,2025
xauusd,simple_momentum4,2025-02,-112.01034369051767,4,2025
xauusd,simple_momentum4,2025-03,-21.042667882215625,5,2025
