asset,timeframe,scope,variant,month,net_bps,trades,year
sp500,30min,full_history,causal_euclidean,2024-02,72.16404662152755,18,2024
sp500,30min,full_history,causal_euclidean,2024-03,54.75716325089992,19,2024
sp500,30min,full_history,causal_euclidean,2024-04,-34.9421470853004,24,2024
sp500,30min,full_history,causal_euclidean,2024-05,-98.14273476236613,21,2024
sp500,30min,full_history,causal_euclidean,2024-06,96.11381362296663,22,2024
sp500,30min,full_history,causal_euclidean,2024-07,-44.878492453836294,33,2024
sp500,30min,full_history,causal_euclidean,2024-08,115.4518563666195,23,2024
sp500,30min,full_history,causal_euclidean,2024-09,-157.3397605930038,18,2024
sp500,30min,full_history,causal_euclidean,2024-10,-52.26311447872085,21,2024
sp500,30min,full_history,causal_euclidean,2024-11,165.09539655283533,19,2024
sp500,30min,full_history,causal_euclidean,2024-12,-197.06136714433472,20,2024
sp500,30min,full_history,causal_euclidean,2025-01,282.79368677973264,18,2025
sp500,30min,full_history,causal_euclidean,2025-02,-286.77855642228053,19,2025
sp500,30min,full_history,causal_euclidean,2025-03,37.52198516800456,32,2025
sp500,30min,full_history,causal_euclidean,2025-04,300.19785174109563,22,2025
sp500,30min,full_history,causal_euclidean,2025-05,-180.11369847740372,24,2025
sp500,30min,full_history,causal_euclidean,2025-06,-80.59761260028519,24,2025
sp500,30min,full_history,causal_euclidean,2025-07,19.002396969955353,21,2025
sp500,30min,full_history,causal_euclidean,2025-08,6.3148224705665115,26,2025
sp500,30min,full_history,causal_euclidean,2025-09,3.298295618021788,24,2025
sp500,30min,full_history,causal_euclidean,2025-10,150.44107151877776,27,2025
sp500,30min,full_history,causal_euclidean,2025-11,154.55183156654024,16,2025
sp500,30min,full_history,causal_euclidean,2025-12,-89.65471018757933,19,2025
sp500,30min,full_history,causal_euclidean,2026-01,-91.33603925763802,22,2026
sp500,30min,full_history,causal_euclidean,2026-02,67.84527142755765,15,2026
sp500,30min,full_history,causal_euclidean,2026-03,-116.855672721941,32,2026
sp500,30min,full_history,causal_euclidean,2026-04,39.488083759900654,22,2026
sp500,30min,full_history,causal_euclidean,2026-05,-23.27294533118906,21,2026
sp500,30min,full_history,causal_euclidean,2026-06,-306.1512643249934,14,2026
sp500,30min,full_history,causal_euclidean,2026-07,12.797494221487465,17,2026
sp500,30min,full_history,causal_euclidean,2026-08,-46.726341116840274,17,2026
sp500,30min,full_history,simple_momentum4,2024-01,-66.06602881496059,34,2024
sp500,30min,full_history,simple_momentum4,2024-02,-24.851489632322306,22,2024
sp500,30min,full_history,simple_momentum4,2024-03,3.1493227466342733,30,2024
sp500,30min,full_history,simple_momentum4,2024-04,5.902093018850152,26,2024
sp500,30min,full_history,simple_momentum4,2024-05,98.8641170867312,27,2024
sp500,30min,full_history,simple_momentum4,2024-06,-130.22929972458326,32,2024
sp500,30min,full_history,simple_momentum4,2024-07,243.9376759925138,29,2024
sp500,30min,full_history,simple_momentum4,2024-08,118.65944388579094,36,2024
sp500,30min,full_history,simple_momentum4,2024-09,-519.6364302663085,38,2024
sp500,30min,full_history,simple_momentum4,2024-10,-117.1586199493513,31,2024
sp500,30min,full_history,simple_momentum4,2024-11,24.752569172097605,30,2024
sp500,30min,full_history,simple_momentum4,2024-12,545.2763503881878,29,2024
sp500,30min,full_history,simple_momentum4,2025-01,203.8316739184316,25,2025
sp500,30min,full_history,simple_momentum4,2025-02,-509.4396372791288,28,2025
sp500,30min,full_history,simple_momentum4,2025-03,-66.0197943069068,26,2025
sp500,30min,full_history,simple_momentum4,2025-04,6.010896313698765,29,2025
sp500,30min,full_history,simple_momentum4,2025-05,55.443604540184076,36,2025
sp500,30min,full_history,simple_momentum4,2025-06,-88.61090973661324,37,2025
sp500,30min,full_history,simple_momentum4,2025-07,-40.791121005513794,32,2025
sp500,30min,full_history,simple_momentum4,2025-08,16.35587556911795,29,2025
sp500,30min,full_history,simple_momentum4,2025-09,1.974204712551598,31,2025
sp500,30min,full_history,simple_momentum4,2025-10,185.86448927488522,32,2025
