asset,policy,cost,year,direction,regime,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10
sp500,short_only,base,2025,-1,bear,19,0.13655030800821355,2.640420542434814,0.13896950223341129,-1.0000000000000104,0.42105263157894735,1.2400382311304292,5.5962661006399825,-9.000000000000368
sp500,short_only,base,2025,-1,bull,120,0.8624229979466119,2.5912314691172975,0.021593595575977478,-1.000000000000015,0.36666666666666664,1.0341715945066692,15.608174460853828,-34.6284837219585
sp500,short_only,base,2025,-1,mixed,10,0.07186858316221766,0.5066500177855175,0.05066500177855175,-1.0000000000000235,0.2,1.0633312522231873,4.000000000000076,0.0
sp500,short_only,base,2026,-1,bear,3,0.021560574948665298,3.896986676054299,1.2989955586847663,0.9324460923414893,0.6666666666666666,4.8969866760543,1.0,0.0
sp500,short_only,base,2026,-1,bull,81,0.582135523613963,7.923834516650155,0.09782511748950809,-1.0000000000000082,0.37037037037037035,1.1553693042480369,16.162915625893625,-31.77280688916926
sp500,short_only,base,2026,-1,mixed,4,0.028747433264887063,-0.1429248768196596,-0.0357312192049149,-0.4211310664974699,0.5,0.9285375615901739,1.0000000000000695,0.0
sp500,trend_aligned,base,2024,1,bull,122,0.8767967145790555,43.4337680042263,0.3560144918379205,-1.0000000000000038,0.47540983606557374,1.6784400974267577,9.531274891430431,-9.083062707364913
sp500,trend_aligned,base,2025,-1,bear,19,0.13655030800821355,2.640420542434814,0.13896950223341129,-1.0000000000000104,0.42105263157894735,1.2400382311304292,5.5962661006399825,-9.000000000000368
sp500,trend_aligned,base,2025,1,bull,90,0.6468172484599589,20.688309517178695,0.22987010574642994,-1.0000000000000053,0.45555555555555555,1.422024124911775,16.31221254641579,-20.226356370661506
sp500,trend_aligned,base,2026,-1,bear,3,0.021560574948665298,3.896986676054299,1.2989955586847663,0.9324460923414893,0.6666666666666666,4.8969866760543,1.0,0.0
sp500,trend_aligned,base,2026,1,bull,62,0.4455852156057495,-3.5901744134225835,-0.0579060389261707,-1.0000000000000147,0.3225806451612903,0.9149211854421696,17.206824050761977,-36.92685324554662
sp500,baseline,stress,2024,-1,bull,143,1.0277207392197125,-29.181771401435114,-0.20406833147856723,-1.0000000000000375,0.26573426573426573,0.7214884906903746,38.605691954520424,-77.30065316896759
sp500,baseline,stress,2024,1,bull,122,0.8767967145790555,35.868141029588045,0.29400115598022986,-0.9999999999999963,0.4672131147540984,1.5515707256454687,10.001299037995434,-15.101279654550039
sp500,baseline,stress,2025,-1,bear,19,0.13655030800821355,2.2790168996585223,0.11994825787676433,-1.0000000000000038,0.42105263157894735,1.207183354514405,5.710877741712796,-9.000000000000329
sp500,baseline,stress,2025,-1,bull,120,0.8624229979466119,-6.6891899172936276,-0.05574324931078023,-1.000000000000007,0.35,0.9140898030995116,21.98264448019262,-42.07059460552044
sp500,baseline,stress,2025,-1,mixed,10,0.07186858316221766,0.33900834610273245,0.033900834610273246,-1.00000000000002,0.2,1.0423760432628404,4.000000000000062,0.0
sp500,baseline,stress,2025,1,bear,18,0.1293634496919918,-0.26645905911676304,-0.014803281062042392,-0.8627329618650794,0.4444444444444444,0.972601923526708,4.000000000000191,-8.000000000000329
sp500,baseline,stress,2025,1,bull,90,0.6468172484599589,23.374456217186896,0.25971618019096554,-0.9999999999999984,0.45555555555555555,1.4770297187180814,16.77065433162824,-20.95491634572047
sp500,baseline,stress,2025,1,mixed,8,0.057494866529774126,2.8987638627871544,0.3623454828483943,-0.3519492493798773,0.5,1.7246909656967726,3.0000000000000653,0.0
sp500,baseline,stress,2026,-1,bear,3,0.021560574948665298,3.7894847828521274,1.2631615942840424,0.8966196004801025,0.6666666666666666,4.789484782852149,0.9999999999999942,0.0
