asset,policy,cost,month,net_r
xauusd,short_only,stress,2025-11,-6.941420371536195
xauusd,short_only,stress,2025-12,-0.734475201584306
xauusd,short_only,stress,2026-01,-8.000000000000071
xauusd,short_only,stress,2026-02,1.2112575139343402
xauusd,short_only,stress,2026-03,-0.6219152826390979
xauusd,short_only,stress,2026-04,-7.8543905322359855
xauusd,short_only,stress,2026-05,-1.1268038296379161
xauusd,short_only,stress,2026-06,6.013221240740267
xauusd,short_only,stress,2026-07,3.407266015409816
xauusd,short_only,stress,2026-08,-9.414948092249187
xauusd,trend_aligned,stress,2024-01,-4.268300334589226
xauusd,trend_aligned,stress,2024-02,1.2964644340228122
xauusd,trend_aligned,stress,2024-03,1.8601385175880787
xauusd,trend_aligned,stress,2024-04,0.5335068477133675
xauusd,trend_aligned,stress,2024-05,-0.8076925576636451
xauusd,trend_aligned,stress,2024-06,1.5212009834980311
xauusd,trend_aligned,stress,2024-07,0.05278816558400301
xauusd,trend_aligned,stress,2024-08,-0.3835036697356048
xauusd,trend_aligned,stress,2024-09,-1.1664233863323656
xauusd,trend_aligned,stress,2024-10,10.13770233060763
xauusd,trend_aligned,stress,2024-11,1.1516194262784072
xauusd,trend_aligned,stress,2024-12,-2.418682582145886
xauusd,trend_aligned,stress,2025-01,-4.1399380530385645
xauusd,trend_aligned,stress,2025-02,3.8134135267837435
xauusd,trend_aligned,stress,2025-03,-0.25936506799043413
xauusd,trend_aligned,stress,2025-04,1.6812243433084135
xauusd,trend_aligned,stress,2025-05,4.9489679983765
xauusd,trend_aligned,stress,2025-06,-5.191987554973374
xauusd,trend_aligned,stress,2025-07,4.382018287447892
xauusd,trend_aligned,stress,2025-08,10.972239300298549
xauusd,trend_aligned,stress,2025-09,1.773670169825484
xauusd,trend_aligned,stress,2025-10,4.539846198490351
xauusd,trend_aligned,stress,2025-11,6.993725347261938
xauusd,trend_aligned,stress,2025-12,-9.636920511802927
xauusd,trend_aligned,stress,2026-01,4.551042848122524
xauusd,trend_aligned,stress,2026-02,-1.390583306186821
xauusd,trend_aligned,stress,2026-03,-1.2264820606005375
xauusd,trend_aligned,stress,2026-04,-6.944604078672114
xauusd,trend_aligned,stress,2026-05,1.1328627311940758
xauusd,trend_aligned,stress,2026-06,4.648709970135825
xauusd,trend_aligned,stress,2026-07,3.407266015409816
xauusd,trend_aligned,stress,2026-08,-4.333414686661245
sp500,baseline,base,2024-01,6.907294436080416
sp500,baseline,base,2024-02,5.481949310509922
sp500,baseline,base,2024-03,-4.084929612185107
sp500,baseline,base,2024-04,-1.7212860695265886
sp500,baseline,base,2024-05,2.8501166143801195
sp500,baseline,base,2024-06,20.25969537704491
sp500,baseline,base,2024-07,-8.730988560200908
sp500,baseline,base,2024-08,4.476147589619526
sp500,baseline,base,2024-09,-0.04227199968064399
sp500,baseline,base,2024-10,2.8929335338931033
sp500,baseline,base,2024-11,-0.41024945793840684
sp500,baseline,base,2024-12,-4.423773617231356
sp500,baseline,base,2025-01,-0.03603113227416621
sp500,baseline,base,2025-02,-6.633416398205415
sp500,baseline,base,2025-03,-2.260401285721835
sp500,baseline,base,2025-04,9.056061027719249
sp500,baseline,base,2025-05,0.7413633389633978
sp500,baseline,base,2025-06,-7.792666675630842
sp500,baseline,base,2025-07,8.692747709916656
sp500,baseline,base,2025-08,-1.4306837950945437
sp500,baseline,base,2025-09,15.218698256977568
sp500,baseline,base,2025-10,4.817171180829668
sp500,baseline,base,2025-11,10.822289314980008
sp500,baseline,base,2025-12,0.44051958589795515
sp500,baseline,base,2026-01,-4.339879488595141
sp500,baseline,base,2026-02,4.293060428777363
sp500,baseline,base,2026-03,4.351817220771232
sp500,baseline,base,2026-04,18.70107485900729
sp500,baseline,base,2026-05,-8.01977336057504
sp500,baseline,base,2026-06,-5.420697838583383
sp500,baseline,base,2026-07,-8.392460885217933
sp500,baseline,base,2026-08,16.50336056323592
sp500,long_only,base,2024-01,9.28296933809644
sp500,long_only,base,2024-02,5.286500092025311
sp500,long_only,base,2024-03,-1.363996787072044
sp500,long_only,base,2024-04,-1.3402120674331859
sp500,long_only,base,2024-05,7.49015352355933
sp500,long_only,base,2024-06,18.79734949719189
sp500,long_only,base,2024-07,-5.676215502274718
sp500,long_only,base,2024-08,3.5657003634471414
sp500,long_only,base,2024-09,-4.096975254877057
sp500,long_only,base,2024-10,6.377479742689124
sp500,long_only,base,2024-11,7.4328338098316475
sp500,long_only,base,2024-12,-2.3218187509575836
sp500,long_only,base,2025-01,-1.0764210883510592
sp500,long_only,base,2025-02,-4.1082544602017155
sp500,long_only,base,2025-03,-4.251418679492914
sp500,long_only,base,2025-04,5.570545560093325
sp500,long_only,base,2025-05,2.36123494005112
sp500,long_only,base,2025-06,-6.552009277126961
sp500,long_only,base,2025-07,10.22917367001487
sp500,long_only,base,2025-08,7.122760733395965
sp500,long_only,base,2025-09,10.457856921998298
sp500,long_only,base,2025-10,4.647617551781957
sp500,long_only,base,2025-11,2.83723411067989
sp500,long_only,base,2025-12,-1.340970883822704
sp500,long_only,base,2026-01,-5.385625345265828
sp500,long_only,base,2026-02,-4.200243305923067
sp500,long_only,base,2026-03,-5.687605802510099
sp500,long_only,base,2026-04,17.681467756061483
sp500,long_only,base,2026-05,-2.7383052253969637
sp500,long_only,base,2026-06,-4.000000000000182
sp500,long_only,base,2026-07,-3.2877325313692243
sp500,long_only,base,2026-08,13.616649637339393
sp500,short_only,base,2024-01,-2.375674902016023
sp500,short_only,base,2024-02,0.1954492184846106
sp500,short_only,base,2024-03,-2.7209328251130627
sp500,short_only,base,2024-04,-0.3810740020934029
sp500,short_only,base,2024-05,-4.640036909179211
sp500,short_only,base,2024-06,1.4623458798530178
sp500,short_only,base,2024-07,-3.054773057926191
sp500,short_only,base,2024-08,0.9104472261723839
sp500,short_only,base,2024-09,4.054703255196413
sp500,short_only,base,2024-10,-3.484546208796021
sp500,short_only,base,2024-11,-7.843083267770054
sp500,short_only,base,2024-12,-2.101954866273773
sp500,short_only,base,2025-01,1.0403899560768932
sp500,short_only,base,2025-02,-2.5251619380036994
sp500,short_only,base,2025-03,1.9910173937710796
sp500,short_only,base,2025-04,3.4855154676259232
